run_id,date,script,sha256_16,inputs,outputs,verdict,notes
P001-06,2026-09-03,06_code/p001_06_capital_stage.py,d25f8eb9f327cc98,sample_v1(NA+EU),07_analysis/out/P00106.json,GO,"귀결 B GO — 차등 경사 +3.91 [1.5,6.7]; 재배치 반사실 +26.8%"
P001-07,2026-09-03,06_code/p001_07_robustness_grid.py,394a8949e9cf21f7,sample_v1+cores_v1 보조,07_analysis/out/P00107.json,PARTIAL,격자 8/9 통과; T2 부표본 검정력 퇴화(negative_results)
P001-08,2026-09-03,06_code/p001_08_measurement_diags.py,d153b0d08537a99b,sample_v1+cores_v1 보조,07_analysis/out/P00108.json,PARTIAL,R2 중립(r=−0.023)·드리프트 무·세분 Becker 수렴; R4 결측 선택 확인→ceiling
I-81,2026-09-03,harness50/i81_stage_mechanism.py,43e2a098e1b8ecda,sample_v1/cores_v1,harness50/out/I81.json,GO,2막 메커니즘 배터리
I-82,2026-09-03,harness50/i82_e3_repairs.py,acf3a119ec1499cd,sample_v1/cores_v1,harness50/out/I82.json,PARTIAL,E3 심판 수리
P001-10,2026-09-04,06_code/p001_10_gap_ladder.py,db16b4eac2521288,sample_v1/cores_v1,07_analysis/out/P00110.json,GO,격차 위치 정본 사다리 (Table 3)
P001-11,2026-09-03,06_code/p001_11_e3_deal_level.py,002626b5bd9c2bac,sample_v1/cores_v1,07_analysis/out/P00111.json,PARTIAL,E3 딜 수준 — 영입 마진 주통계량 (D009) | v3 2026-09-10(외부 리뷰 §6): 영입+이탈 합·기계적 채널 입력·첫/마지막 여성 비중·사전 경로 구간 추가(동일 시드; 기존 값 불변)
P001-12,2026-09-03,06_code/p001_12_covadj_hazard.py,76ca9e401a2051c5,sample_v1/cores_v1,07_analysis/out/P00112.json,GO,공변량+해저드 (D010)
P001-13,2026-09-03,06_code/p001_13_battery_joint.py,2c57a75774253f3c,sample_v1/cores_v1,07_analysis/out/P00113.json,PARTIAL,배터리 결합 (RW)
P001-14,2026-09-03,06_code/p001_14_tier2_robust.py,71da157a427bcdc5,sample_v1/cores_v1,07_analysis/out/P00114.json,GO,역순 분해+순열+감도(결합)
P001-14b,2026-09-03,06_code/p001_14b_join_sensitivity.py,98be4fe1984fef90,sample_v1/cores_v1,07_analysis/out/P00114b.json,GO,감도 곡선 (영입 마진)
P001-15,2026-09-04,06_code/p001_15_gmwx_staircase_ff.py,284501cdd9b2e46c,sample_v1/cores_v1,07_analysis/out/P00115.json,PARTIAL,가법 vs 셀 (예측 반전 기록)
P001-16,2026-09-04,06_code/p001_16_meas_diags2.py,e75121aeaaab99ef,sample_v1/cores_v1,07_analysis/out/P00116.json,PARTIAL,살리언스 지문+라벨
P001-17,2026-09-04,06_code/p001_17_ladder_reweight.py,09b8edea1e2078cd,sample_v1/cores_v1,07_analysis/out/P00117.json,GO,Table 8 재가중+다수여성
P001-18,2026-09-04,06_code/p001_18_career.py,78ce52f29833de28,sample_v1/cores_v1,07_analysis/out/P00118.json,PARTIAL,커리어 원판 (스테이지 오염 의심)
P001-18b,2026-09-04,06_code/p001_18b_career_fix.py,c10efd6be6054d5a,sample_v1/cores_v1,07_analysis/out/P00118b.json,PARTIAL,커리어 스타일 통제판 | v2 2026-09-10(외부 리뷰 §5-1): β_R+β_A 재모수화 추가(동일 시드)
P001-19,2026-09-04,06_code/p001_19_ss_row.py,fc8738f29fc3245a,sample_v1/cores_v1,07_analysis/out/P00119.json,GO,S&S 회사 간 행
P001-31,2026-09-08,p001_31_gate_power.py,62e41f83f854271a,sample_v1 (+CTX acq/ipos/partners/rounds/funds),07_analysis/out/P00131.json,OK,R2 게이트 검정력 진단 (MDE·within 분산·다중성)
P001-32,2026-09-08,p001_32_firm_between_within.py,b9fccf99d20f542e,sample_v1 (+CTX acq/ipos/partners/rounds/funds),07_analysis/out/P00132.json,PARTIAL,회사 between/within Mundlak
P001-33,2026-09-08,p001_33_fixed_horizon_exit.py,6e8a8216e524b024,sample_v1 (+CTX acq/ipos/partners/rounds/funds),07_analysis/out/P00133.json,GO,고정 출구지평 exit3/exit6 (+회사FE·새기업·LCO)
P001-34,2026-09-08,p001_34_deal_rolling_fe.py,6a38b1e6d4954a5c,sample_v1 (+CTX acq/ipos/partners/rounds/funds),07_analysis/out/P00134.json,PARTIAL,"딜 수준 롤링 구성, 회사×연 FE / 파트너 FE"
P001-35,2026-09-08,p001_35_terrain_reliability.py,f1d43f10a3a6f451,sample_v1 (+CTX acq/ipos/partners/rounds/funds),07_analysis/out/P00135.json,OK,terrain 반분 신뢰도·IV
P001-36,2026-09-08,p001_36_gender_components.py,b7c75195ca7dc111,sample_v1 (+CTX acq/ipos/partners/rounds/funds),07_analysis/out/P00136.json,OK,"성별 × 성분, 함의 상쇄 CI"
P001-37,2026-09-08,p001_37_lp_components.py,b8965c144b6dbbaa,sample_v1 (+CTX acq/ipos/partners/rounds/funds),07_analysis/out/P00137.json,PARTIAL,Panel C ← 성분 + late_sh
P001-38,2026-09-09,p001_38_fixed_horizon_recheck.py,938bd55b801df521,sample_v1 (+CTX),07_analysis/out/P00138.json,OK,R3 결정 검정: 고정 Mundlak·성별 함의·ex-ante·중복만·IPW·days≥0·표준화·반분
P001-39,2026-09-09,p001_39_jobs_tenure_rank.py,a9032c1005a08377,sample_v1 (+CTX),07_analysis/out/P00139.json,OK,CP-1 jobs 합류일·직급 재직연차
P001-40,2026-09-09,p001_40_identifying_cells_audit.py,cff8e960f7b94cda,sample_v1 (+CTX),07_analysis/out/P00140.json,OK,P2 식별 셀·동료 가용성·잭나이프·위약
P001-41,2026-09-09,p001_41_deal_rolling_no_adjpr.py,16584ff39be335d4,sample_v1 (+CTX),07_analysis/out/P00141.json,OK,R-9 adj_pr 통제 유무
P001-47,2026-09-09,p001_47_exante_share_artifacts.py,96915f1ac9c78620,sample_v1 (+CTX),07_analysis/out/P00147.json,OK,R4 소형 산출물
P001-42,2026-09-09,p001_42_within_round_reup.py,5255a5696474744a,sample_v1 (+CTX inv/rounds/partners/people/jobs/orgs),07_analysis/out/P00142.json,GO,P1 라운드 내 재참여·재귀속·리드·역방향 위약
P001-43,2026-09-09,p001_43_movers_assignment.py,7e66d6de20c1ac36,sample_v1 (+CTX inv/rounds/partners/people/jobs/orgs),07_analysis/out/P00143.json,GO,P3 이동자 배정 β · 미래회사/위약/방향
P001-44,2026-09-09,p001_44_absence_spells.py,5bbfca722f49af76,sample_v1 (+CTX inv/rounds/partners/people/jobs/orgs),07_analysis/out/P00144.json,PARTIAL,P4 부재 스펠 (귀속·전체 딜) · 기록 위약
P001-45,2026-09-09,p001_45_ladder_pipeline.py,ec197e08a1d57bbe,sample_v1 (+CTX inv/rounds/partners/people/jobs/orgs),07_analysis/out/P00145.json,OK,P5 사다리 파이프라인 4마진
P001-48,2026-09-09,p001_48_region_split.py,621f8999c0985ff2,sample_v1,07_analysis/out/P00148.json,OK,지역 분할 US/NA/EU
P001-49,2026-09-09,p001_49_coattribution_audit.py,ea49c8100c9130e4,sample_v1,07_analysis/out/P00149.json,OK,공동귀속 셀 감사
P001-50,2026-09-09,p001_50_hazard_identification.py,97ce317656b3ad64,sample_v1 (+CTX rounds/orgs/inv/acq/ipos),07_analysis/out/P00150.json,OK,Table 4 해저드 식별 변이 감사
P001-46,2026-09-09,p001_46_balance_rothstein.py,64fc05532842162e,sample_v1 (+CTX orgs/jobs/degrees/rounds),07_analysis/out/P00146.json,OK,P8 균형검정 (정정 재실행)
P001-51,2026-09-09,p001_51_within_round_variants.py,c207763194f2c3b4,sample_v1 (+CTX rounds/inv/partners/funds/investors),07_analysis/out/P00151.json,PARTIAL,R5 A-1 라운드 내 변형 배터리
P001-56,2026-09-09,p001_56_within_round_v2.py,41714b8627b18887,sample_v1 NAEU+GLOBAL (+CTX rounds/inv/partners/exits),07_analysis/out/P00156.json,OK,R5-5 라운드 내 v2
P001-52,2026-09-09,p001_52_balance_maxt.py,8a6da3b569fe28f1,sample_v1 (+CTX orgs/rounds/founders/inv/partners),07_analysis/out/P00152.json,OK,R5 E-1/E-2/R5-4 균형 재통계 v2 (max-|t| · 비희석 · T10A 희석)
P001-54,2026-09-09,p001_54_within_partner_outcome.py,db186b76a0bda95b,sample_v1 NAEU (+CTX rounds/orgs/inv/founders),07_analysis/out/P00154.json,GO,R5-1 파트너 내 결과 검정
P001-57,2026-09-09,p001_57_within_partner_horizon.py,aadb9711000a0988,sample_v1 NAEU (+CTX rounds/orgs/inv),07_analysis/out/P00157.json,OK,P001-54 후속 구성물 분해
P001-55,2026-09-09,p001_55_table3_fixed_horizon_ladder.py,473f5fc7a612d777,sample_v1 NAEU (+CTX acq/ipos/partners),07_analysis/out/P00155.json,OK,R5-3 Table 3 고정지평 사다리·딜 코딩
P001-58,2026-09-09,p001_58_public_sources_controls.py,f1d27e1917f02afb,sample_v1 (+cb funds; formd_v1 T1; patents_v1 v2),07_analysis/out/P00158.json,OK,공개 소스 변수 투입(펀드 통제·between 분해·특허)
P001-59,2026-09-09,p001_59_within_partner_extensions.py,3b26084abfec8048,sample_v1 (+P001-54 controls; v6_common within-round sample),07_analysis/out/P00159.json,OK,"R6 식별 후속: 파트너 내 검정 확장(빈티지×지평·이탈 상태·회사 군집·LOO·IPO/인수·Holm·국가 벤치마크·선택) + 라운드 내 밴드 2,000회; 예측 적중 12/13(표본 밖 비중 0.234 > 0.10) | v2 2026-09-10: 코드 검토 반영 재실행(식별 파트너 수·활동 정의·IPO/인수 LOO·Holm 행 nb=2000)"
P001-60,2026-09-10,p001_60_review_reanalyses.py,6a4ac9ac4b558c05,sample_v1 (+P001-54 controls; P001-38 panel),07_analysis/out/P00160.json,OK,외부 원고 리뷰 재분석: 여성 자신 FF−other 격차·빈티지 대비·딜 이후 출구 규칙·확장 Mundlak·eligible/estimation 카운트; 예측 적중 6/8(빈티지 대비 두 항목 빗나감: 예측보다 작은 점추정)
