claim_id,exhibit,claim,value,ci95,n,source_json,json_path,code,sha256_16,path_status
C104,Table2,E1 사다리 L1 (+섹터),+3.21pp,"[1.96, 4.75]",127061,07_analysis/out/P00102.json,estimates.ladder.L1_pluscat,06_code/p001_02_decomposition_region.py,,valid
C105,Table2,E1 사다리 L2 (+스테이지),+0.66pp,"[-0.48, +1.89]",127061,07_analysis/out/P00102.json,estimates.ladder.L2_plusstage,06_code/p001_02_decomposition_region.py,,valid
C106,Table2,매개 몫: 섹터 / 스테이지,53.9% / 36.6%,-,127061,07_analysis/out/P00102.json,estimates.mediator_share,06_code/p001_02_decomposition_region.py,,valid
C107,Table3,"원 격차 (ff 딜 exit_ever, 섹터 셀, 글로벌)",-6.25pp,"[-11.50, -1.38]",8058,07_analysis/out/P00110.json,estimates.ladder.GLOBAL.pluscat,06_code/p001_10_gap_ladder.py,,valid (v2 정본 재지정)
C108,Table3,원 격차 (NA+EU 섹터 셀),-4.55pp,"[-10.13, +0.22] (0 미배제)",7103,07_analysis/out/P00110.json,estimates.ladder.NAEU.pluscat,06_code/p001_10_gap_ladder.py,,valid (v2 정본 재지정)
C109,Table3,격차 소멸 (NA+EU 스테이지 셀),-1.02pp,"[-4.49, +2.67]",7103,07_analysis/out/P00110.json,estimates.ladder.NAEU.plusstage,06_code/p001_10_gap_ladder.py,,valid (v2 정본 재지정)
C110,Table4,E2 fon gap_ff (스테이지 셀),+1.08pp,"[-1.48, +3.62] MDE 3.7",13187,07_analysis/out/P00103.json,estimates.fon,06_code/p001_03_adjudication_naeu.py,,valid
C111,Table4,E2 배터리: ipo6 (acqp/closed 는 표4 직접) [표시단위는 원고 참조],-0.0051,각 JSON,7103,07_analysis/out/P00103.json,estimates.ipo6.gap_ff,06_code/p001_03_adjudication_naeu.py,,valid
C112,Table5,스테이지 skew: fp-초기단계 연관,+3.84pp,"[2.60, 5.00]",154123,harness50/out/I80.json,estimates.fp_early_assoc,harness50/i80_stage_control.py,88dabccfbba4fe36,valid
C113,Table5,연차 셀 잔여 (연차 평균은 표5 직접),+2.02pp,"[0.91, 3.30]",154123,harness50/out/I81.json,estimates.mb_tenurecell,harness50/i81_stage_mechanism.py,,valid
C114,Table5,졸업 기울기 차 (여-남),-0.42pp/년,"[-0.99, +0.15]",154123,harness50/out/I81.json,estimates.slope_diff,harness50/i81_stage_mechanism.py,,valid
C115,Table6,E3 재가중 스택 결합,+2.32pp,"[+0.18, +4.49]; perm p=.025",1177 여성사건,07_analysis/out/P00104b.json,estimates.L2_reweighted,06_code/p001_04b_stacked_fix.py,,valid (v2: robustness 행)
C116,Table6,E3 추세조정 / 파단 기울기,+4.97pp / 0.58pp/반기,"[-1.32, +11.32]",1177,07_analysis/out/P00104b.json,estimates.L3_trendadj,06_code/p001_04b_stacked_fix.py,,valid (v2: robustness 행)
C117,Table6,동료-딜 결합 (본인 비중 6.1%는 표6 직접),+2.06pp,"[-0.03, +4.01] (하한 knife-edge)",945,harness50/out/I82.json,estimates.colleague_joint,harness50/i82_e3_repairs.py,,valid (단위 정정)
C118,Table6,E3 사전 run-up (수준),+2.2pp,"[1.3, 3.2]",945,harness50/out/I76.json,estimates.pre_runup_join_f,harness50/i76_gender_shock.py,,valid
C119,Table7,귀결 A: 여성 백분위 교정폭 (조정-원시),+4.43점,"[2.13, 6.77]",2686 파트너,07_analysis/out/P00105.json,estimates.pct_diff_female,06_code/p001_05_trackrecord.py,,valid
C120,Table7,상위 사분위 여성 비중 (조정) [표시단위는 원고 참조],0.0818,"Δ [-0.21, +2.43]pp",2686,07_analysis/out/P00105.json,estimates.topq_female_share_adj,06_code/p001_05_trackrecord.py,,valid
C121,Table8,귀결 B: P(fp|ff) 단계 경로,20.2 → 17.9 → 13.3%,각 CI JSON,113708,07_analysis/out/P00106.json,estimates.p_fp_given_ff,06_code/p001_06_capital_stage.py,,valid
C122,Table8,귀결 B: 차등 경사 / 재배치 반사실,+3.91pp / +26.8%,"[1.50, 6.69]",113708,07_analysis/out/P00106.json,estimates.diff_slope,06_code/p001_06_capital_stage.py,,valid (canonical: P00106)
C124,Table9,R4 결측 선택: US / 초기 편중,+28.2pp / -17.8pp,-,193472,07_analysis/out/P00108.json,estimates.r4_missingness,06_code/p001_08_measurement_diags.py,,valid
C125,Table3,"가법 4FE 격차 (글로벌, ff 딜 exit)",+0.78pp,"[-5.75, +7.05]",8058,07_analysis/out/P00115.json,estimates.GLOBAL.exit_additive,06_code/p001_15_gmwx_staircase_ff.py,,valid
C126,Table4,"해저드 격차 (연, 조정)",-0.24pp/yr,"[-0.81, +0.26]; 기저 6.19%/yr; ±25% 배제",37416,07_analysis/out/P00112.json,estimates.hazard_gap_per_yr,06_code/p001_12_covadj_hazard.py,,valid
C127,Table4,조정 배터리 fon,+0.91pp,"[-1.35, +3.21]",13187,07_analysis/out/P00112.json,estimates.battery_adj.fon,06_code/p001_12_covadj_hazard.py,,valid
C128,Table4,Romano-Wolf 최소 조정 p,0.64,-,7103,07_analysis/out/P00113.json,estimates.rw_adjusted_p,06_code/p001_13_battery_joint.py,,valid
C129,Table4,E2 순열 p (fon/exit),0.514 / 0.52,-,13187,07_analysis/out/P00114.json,estimates.e2_perm,06_code/p001_14_tier2_robust.py,,valid
C130,Table2,역순 사다리 (스테이지 먼저),+5.77pp,"[+4.34, +7.04]",127061,07_analysis/out/P00114.json,estimates.ladder_reverse.stage_first,06_code/p001_14_tier2_robust.py,,valid
C131,Table2,배치 총몫 / 섹터 / 스테이지 bracket,90.5% / 54-73% / 17-37%,-,127061,07_analysis/out/P00114.json,estimates.share_bracket,06_code/p001_14_tier2_robust.py,,valid
C132,Table6,"영입 마진 (딜 수준, 재가중)",+2.81pp,"[+1.39, +3.95]",244349,07_analysis/out/P00111.json,estimates.join,06_code/p001_11_e3_deal_level.py,,valid
C133,Table6,이탈 마진 (딜 수준),+0.75pp,"[-2.29, +3.08]",244349,07_analysis/out/P00111.json,estimates.exit,06_code/p001_11_e3_deal_level.py,,valid
C134,Table6,동료-딜 결합 (딜 수준),+2.04pp,"[-0.09, +4.48]",244349,07_analysis/out/P00111.json,estimates.colleague_joint,06_code/p001_11_e3_deal_level.py,,valid
C135,Table6,영입 감도 δ* [표시단위는 원고 참조],0.4,-,127061,07_analysis/out/P00114b.json,estimates.delta_star,06_code/p001_14b_join_sensitivity.py,,valid
C136,Table6,딜 수준 결합 대비,+2.06pp,"[-0.07, +4.57]",244349,07_analysis/out/P00111.json,estimates.joint_contrast,06_code/p001_11_e3_deal_level.py,,valid
C137,Table7,커리어: 조정 랭크 β (given raw),+1.54,"[+1.24, +1.86]",2686,07_analysis/out/P00118b.json,estimates.beta_adj_given_raw,06_code/p001_18b_career_fix.py,,valid
C138,Table7,커리어: 원시 랭크 β (given adj),-1.73,"[-2.11, -1.39]",2686,07_analysis/out/P00118b.json,estimates.beta_raw_given_adj,06_code/p001_18b_career_fix.py,,valid
C139,Table8,경사: 판정가능성 재가중,+4.40pp,"[+1.70, +7.22]",113708,07_analysis/out/P00117.json,estimates.slope_reweighted,06_code/p001_17_ladder_reweight.py,,valid
C140,Table8,경사: 다수-여성 정의,+3.71pp,"[+0.57, +6.86]",113708,07_analysis/out/P00117.json,estimates.slope_majority_female,06_code/p001_17_ladder_reweight.py,,valid
C141,Table8,[SUPERSEDED -> C164 (P00124.json)] S&S 행: 리드 fp_share 高 raw,+5.91pp,"[+1.31, +10.19]",4197,07_analysis/out/P00119.json,estimates.lead_fp_share_hi.raw_yearFE,06_code/p001_19_ss_row.py,,SUPERSEDED
C142,Table9,살리언스 지문: ff×fp_share→귀속,+2.46pp,"[+0.70, +4.44]",331661,07_analysis/out/P00116.json,estimates.attr_ff_x_fpshare,06_code/p001_16_meas_diags2.py,,valid
C143,Table9,"E1 스테이지층, generic 라벨 제외",+0.59pp,"[-0.53, +1.91]",114658,07_analysis/out/P00116.json,estimates.e1_stage_excl_generic,06_code/p001_16_meas_diags2.py,,valid
C144,§4,"전체 딜 격차 (NA+EU, 연도만)",-1.92pp,"[-4.48, +0.85]",49743,07_analysis/out/P00101.json,estimates.exit6.s0_year,06_code/p001_01_gmwx_staircase.py,,valid
C145,§3,E1 원 연관 순열 p [표시단위는 원고 참조],0.0,(200 draws p=0.000),154123,harness50/out/I74.json,estimates.perm_p,harness50/i74_gender_gates.py,a36e262171d1f234,valid
C146,§3,"I-81 결과검정 (초기딜 fon, 정확 셀)",-1.12pp,"[-3.03, +0.62]",24630,07_analysis/out/P00108.json,estimates.becker_fon_finestage,06_code/p001_08_measurement_diags.py,,valid
C123a,Table9,귀속 중립성 상관,-0.023,"[-0.044, -0.002]",8119,07_analysis/out/P00108.json,estimates.r2_attr_fp_corr,06_code/p001_08_measurement_diags.py,,valid
C123b,Table9,프로필 충실 E1 섹터층,+3.62pp,"[+2.10, +5.17]",104854,07_analysis/out/P00107.json,estimates.A_e1_sector.T4_profile_rich,06_code/p001_07_robustness_grid.py,,valid
C147,Table4,조정 배터리 exit_ever,-0.94pp,"[-4.20, +2.41]",7103,07_analysis/out/P00112.json,estimates.battery_adj.exit_ever,06_code/p001_12_covadj_hazard.py,,valid
C148,Table4,조정 배터리 acqp6,+0.65pp,"[-0.24, +2.24]",7103,07_analysis/out/P00112.json,estimates.battery_adj.acqp6,06_code/p001_12_covadj_hazard.py,,valid
C149,Table4,조정 배터리 ipo6,-0.40pp,"[-2.27, +1.37]",7103,07_analysis/out/P00112.json,estimates.battery_adj.ipo6,06_code/p001_12_covadj_hazard.py,,valid
C150,Table4,조정 배터리 closed6,+1.38pp,"[-0.78, +3.84]",7103,07_analysis/out/P00112.json,estimates.battery_adj.closed6,06_code/p001_12_covadj_hazard.py,,valid
C151,Table8,[SUPERSEDED -> C164 (P00124.json)] S&S 셀 조정 (fp_share),+3.98pp,"[-0.43, +9.08]",4197,07_analysis/out/P00119.json,estimates.lead_fp_share_hi.cells,06_code/p001_19_ss_row.py,,SUPERSEDED
C152,Table6,딜 수준 사건 수 (전체/여성 포함) [복합값],4824 / 1177,-,244349,07_analysis/out/P00111.json,estimates,06_code/p001_11_e3_deal_level.py,,valid
C153,Table7,외부 평가자 관측 가능성 (스핀아웃 / 신생사 펀드조성),380 / 221 (58.2%),-,2686,07_analysis/out/P00123.json,estimates.A6_LP_side,06_code/p001_23_audit_p22.py,,valid
C154,Table7,신생사 펀드조성 ← terrain (wedge),+0.494,"[0.143, 0.862]",380,07_analysis/out/P00125.json,estimates.B2_joint_RI.individual.lp_any,06_code/p001_25_wedge_decisive.py,,valid
C155,Table7,신생사 log 조성액 ← terrain,+2.501,"[0.996, 4.194]",197,07_analysis/out/P00125.json,estimates.B2_joint_RI.individual.lp_amt,06_code/p001_25_wedge_decisive.py,,valid
C156,Table7,수용 회사 품질 ← terrain,+1.201,"[0.362, 2.244]",712,07_analysis/out/P00125.json,estimates.B2_joint_RI.individual.recv_q,06_code/p001_25_wedge_decisive.py,,valid
C157,Table7,외부 평가자 3결과 결합 무작위추론 p [0 of 400 permutations; report as p < 0.003],0.0000,-,2686,07_analysis/out/P00125.json,estimates.B2_joint_RI.joint_RI_p,06_code/p001_25_wedge_decisive.py,,valid
C158,Table7,사후기 조정성과 ← raw_pct (adj_pct 통제),+0.0973,"[0.0389, 0.1604]",2178,07_analysis/out/P00125.json,estimates.B1_wedge_predicts_future,06_code/p001_25_wedge_decisive.py,,valid
C159,Table7,동일 계수 (leave-one-out 셀평균),+0.1027,"[0.0339, 0.1761]",2164,07_analysis/out/P00127.json,estimates.B LOO,06_code/p001_27_loo_cellmean.py,,valid
C160,Table7,(대조) 사후기 조정성과 ← adj_pct,+0.2458,"[0.2080, 0.2787]",2178,07_analysis/out/P00125.json,estimates.B1b_control_adj_predicts_future,06_code/p001_25_wedge_decisive.py,,valid
C161,Table7,여성 파트너의 terrain (fp → wedge),-0.0480,"[-0.0750, -0.0254]",2686,07_analysis/out/P00126.json,estimates.G1_fp_to_wedge,06_code/p001_26_wedge_gender.py,,valid
C162,Table7,여성 파트너의 사후기 조정성과 (fp → post_adj),-0.0066,"[-0.0482, 0.0337]",2178,07_analysis/out/P00126.json,estimates.G2_fp_to_future_adj,06_code/p001_26_wedge_gender.py,,valid
C163,Table9,경마 사양 진단 (rho / VIF / 식별지분),0.8614 / 7.37 / 13.6%,-,2686,07_analysis/out/P00123.json,estimates.A2_collinearity,06_code/p001_23_audit_p22.py,,valid
C164,Table8,S&S 교정 재실행 (전원여성 리드; Cox HR),0.990,"[-0.831, 0.466] (log hazard)",421,07_analysis/out/P00124.json,estimates.S1|처치 단독,06_code/p001_24_ss_rerun_cox.py,,valid
C165,Table9,사후기 관측 선택: has_post ← composition component (percentile-point 단위),-0.4247,"[-0.5354, -0.3071]",2661,07_analysis/out/P00128.json,estimates.S1_selection_on_wedge.coef,06_code/p001_28_selection_terrain.py,,valid
C166,Table7,IPW 재추정: post_adj ← raw_pct | adj_pct (관측확률 역가중),0.0929,"[0.0277, 0.1618]",2164,07_analysis/out/P00128.json,estimates.S2_ipw.coef,06_code/p001_28_selection_terrain.py,,valid
C167,Table7,무조건 terrain (level) → post_adj,0.14604,"[0.0791, 0.2154]",2164,07_analysis/out/P00128.json,estimates.S3_terrain_unconditional_level.coef,06_code/p001_28_selection_terrain.py,,valid
C168,Table7,레벨 단위: raw | adj → post_adj,0.09772,"[0.0284, 0.1573]",2164,07_analysis/out/P00128.json,estimates.S4_raw_given_adj_level.coef,06_code/p001_28_selection_terrain.py,,valid
C169,Table9,사후기 딜 중 사전기 투자기업 후속 비중,0.2773,-,2661,07_analysis/out/P00129.json,estimates.share_post_deals_overlapping_pre_companies,06_code/p001_29_overlap_stage.py,,valid
C170,Table7,기업 중복 제외 후: post_adj_excl ← raw_pct | adj_pct,0.07893,"[0.0168, 0.1584]",1858,07_analysis/out/P00129.json,estimates.T1_excl_overlap.coef,06_code/p001_29_overlap_stage.py,,valid
C171,Table9,펀드조성 ← composition | late_sh 통제,0.45588,"[-0.0856, 0.9661]",380,07_analysis/out/P00129.json,estimates.T2_late_stage_control.lp_any.with_late_ctrl.coef,06_code/p001_29_overlap_stage.py,,valid
C172,Table9,log 조성액 ← composition | late_sh 통제,0.66206,"[-1.5774, 2.9639]",197,07_analysis/out/P00129.json,estimates.T2_late_stage_control.lp_amt.with_late_ctrl.coef,06_code/p001_29_overlap_stage.py,,valid
C173,Table9,수용사 품질 ← composition | late_sh 통제,0.66339,"[-0.6928, 2.2580]",712,07_analysis/out/P00129.json,estimates.T2_late_stage_control.recv_q.with_late_ctrl.coef,06_code/p001_29_overlap_stage.py,,valid
C174,Table9,log 조성액 ← late_sh (자체),1.42316,"[0.7557, 2.2008]",197,07_analysis/out/P00129.json,estimates.T2_late_stage_control.lp_amt.late_sh_own.coef,06_code/p001_29_overlap_stage.py,,valid
C175,Table7,무조건 composition 백분위 (wedge) → post_adj,-0.03721,"[-0.1100, 0.0284]",2164,07_analysis/out/P00129.json,estimates.T3_unconditional_percentile.coef,06_code/p001_29_overlap_stage.py,,valid
C176,Table7,"여성 파트너 composition, LOO 벤치마크 (fp → wedge)",-0.04989,"[-0.0792, -0.0222]",2661,07_analysis/out/P00127.json,estimates.gender_recheck.LOO.fp_to_wedge.coef,06_code/p001_27_loo_cellmean.py,,valid
C179,Table7,총 terrain → post_adj (분해 사양 재현),0.0977,"[0.031, 0.176]",2164,07_analysis/out/P00130.json,estimates.R1t_total.terrain.coef,06_code/p001_30_terrain_decomp.py,,valid
C180,Table7,같은 회귀의 adj 계수 (40% 비율의 올바른 분모),0.3348,"[0.284, 0.383]",2164,07_analysis/out/P00130.json,estimates.R1t_total.adj.coef,06_code/p001_30_terrain_decomp.py,,valid
C181,Table7,총 terrain + 연공 통제,0.0762,"[-0.018, 0.162]",2164,07_analysis/out/P00130.json,estimates.R2t_total_tenure.terrain.coef,06_code/p001_30_terrain_decomp.py,,valid
C182,Table7,"총 terrain, 회사 FE",0.0986,"[-0.060, 0.257]",1624,07_analysis/out/P00130.json,estimates.R4t_total_firmFE.terrain.coef,06_code/p001_30_terrain_decomp.py,,valid
C183,Table7,섹터|연도·단계 성분 (분해),0.1602,"[0.004, 0.307]",2164,07_analysis/out/P00130.json,estimates.R1_decomp.t_cs.coef,06_code/p001_30_terrain_decomp.py,,valid
C184,Table7,섹터|연도·단계 성분 + 연공,0.1511,"[-0.008, 0.300]",2164,07_analysis/out/P00130.json,estimates.R2_tenure.t_cs.coef,06_code/p001_30_terrain_decomp.py,,valid
C185,Table7,빈티지 성분 (분해),0.0752,"[-0.089, 0.258]",2164,07_analysis/out/P00130.json,estimates.R1_decomp.t_v.coef,06_code/p001_30_terrain_decomp.py,,valid
C186,Table7,고정지평(fon 36m): terrain_fon → post_fon_adj,0.0354,"[-0.159, 0.237]",2017,07_analysis/out/P00130.json,estimates.R5_fixed_horizon.terrain_fon.coef,06_code/p001_30_terrain_decomp.py,,valid
C187,Table7,고정지평 대조: adj_fon → post_fon_adj,0.2484,"[0.156, 0.346]",2017,07_analysis/out/P00130.json,estimates.R5_fixed_horizon.adj_fon.coef,06_code/p001_30_terrain_decomp.py,,valid
C188,Table7,leave-partner-out: raw_lpo | adj_lpo,0.0998,"[0.025, 0.164]",2164,07_analysis/out/P00130.json,estimates.R6_leave_partner_out.raw_lpo.coef,06_code/p001_30_terrain_decomp.py,,valid
C189,Table9,관측 선택 ← 빈티지 성분,-2.1881,"[-2.417, -1.972]",2661,07_analysis/out/P00130.json,estimates.R7_selection_decomp.t_v.coef,06_code/p001_30_terrain_decomp.py,,valid
C190,Table9,관측 선택 ← 연차,0.0283,"[0.002, 0.075]",2661,07_analysis/out/P00130.json,estimates.R7b_selection_tenure.tenure.coef,06_code/p001_30_terrain_decomp.py,,valid
C177,Table8,[SUPERSEDED -> C164 (P00124.json)] S&S 대안: 리드 귀속파트너 여성(혼성 풀링) raw,0.0226,"[0.0037, 0.0424]",1377,07_analysis/out/P00119.json,estimates.lead_fp_attr.raw_yearFE.0,06_code/p001_19_ss_row.py,,SUPERSEDED
C178,Table8,[SUPERSEDED -> C164 (P00124.json)] S&S 대안: 리드 귀속파트너 여성(혼성 풀링) cells,0.0,-,1377,07_analysis/out/P00119.json,estimates.lead_fp_attr.cells,06_code/p001_19_ss_row.py,,SUPERSEDED
C191,Table7,"고정 출구지평(exit3/exit3) 총 terrain → 사후 셀 내 성과, 연공 통제",0.27817,"[0.0753, 0.4803]",2017,07_analysis/out/P00133.json,estimates.A_exit3_exit3.F2t.terrain.coef,06_code/p001_33_fixed_horizon_exit.py,45f4b7f98d481225,valid
C192,Table7,"고정 출구지평(exit3/exit3) 섹터|연도·단계 성분, 연공 통제",0.30719,"[0.0565, 0.5696]",2017,07_analysis/out/P00133.json,estimates.A_exit3_exit3.F2.t_cs.coef,06_code/p001_33_fixed_horizon_exit.py,45f4b7f98d481225,valid
C193,Table7,"고정 출구지평, 사전 벤치마크 72m(exit6/exit3) 총 terrain, 연공 통제",0.15486,"[0.0378, 0.2671]",2017,07_analysis/out/P00133.json,estimates.B_exit6_exit3.F2t.terrain.coef,06_code/p001_33_fixed_horizon_exit.py,45f4b7f98d481225,valid
C194,Table7,"고정 출구지평(exit3/exit3) 총 terrain, 회사 FE",-0.0387,"[-0.3282, 0.2354]",1490,07_analysis/out/P00133.json,estimates.A_exit3_exit3.F3t.terrain.coef,06_code/p001_33_fixed_horizon_exit.py,45f4b7f98d481225,valid
C195,Table7,"고정 출구지평(exit3/exit3) 총 terrain, 사후기 새 기업 딜만",0.19258,"[-0.0364, 0.399]",1574,07_analysis/out/P00133.json,estimates.A_exit3_exit3.F4t.terrain.coef,06_code/p001_33_fixed_horizon_exit.py,45f4b7f98d481225,valid
C196,Table7,"고정 출구지평(exit3/exit3) 총 terrain, leave-company-out 벤치마크",0.33232,"[0.1182, 0.5371]",2002,07_analysis/out/P00133.json,estimates.A_exit3_exit3.F5t.terrain.coef,06_code/p001_33_fixed_horizon_exit.py,45f4b7f98d481225,valid
C197,Table9,"고정 출구지평 총 terrain 표준화 계수(sd 단위), A 조합",0.0831,-,2017,07_analysis/out/P00133.json,estimates.A_exit3_exit3.F2t.terrain.beta_std,06_code/p001_33_fixed_horizon_exit.py,45f4b7f98d481225,valid
C198,Table9,고정지평에서 빈티지 성분 sd (A 조합),0.0147,-,2661,07_analysis/out/P00133.json,estimates.A_exit3_exit3.sd_t_v,06_code/p001_33_fixed_horizon_exit.py,45f4b7f98d481225,valid
C199,Table9,사후기 딜 중 사전기 동일 기업 반복 비중 (고정지평 창),0.2182,-,2017,07_analysis/out/P00133.json,estimates.A_exit3_exit3.share_repeat_company_post,06_code/p001_33_fixed_horizon_exit.py,45f4b7f98d481225,valid
C200,Table7,고정 후속지평(fon/fon) 총 terrain — P001-30 R5 재현,0.03539,"[-0.1723, 0.24]",2017,07_analysis/out/P00133.json,estimates.C_fon_fon.F1t.terrain.coef,06_code/p001_33_fixed_horizon_exit.py,45f4b7f98d481225,valid
C201,Table7,"딜 수준: 이전 연도 구성(섹터 성분) → 현재 딜 36m 출구 셀 내 잔차, 풀 + 연공 + 연도 FE",0.14963,"[0.0535, 0.2507]",35348,07_analysis/out/P00134.json,estimates.D2_tenure_year.t_cs_pr.coef,06_code/p001_34_deal_rolling_fe.py,4a6b41ee108b8150,valid
C202,Table7,"딜 수준: 같은 계수, 회사×연 FE",0.05039,"[-0.0806, 0.1728]",25600,07_analysis/out/P00134.json,estimates.D3_firmyear_FE.t_cs_pr.coef,06_code/p001_34_deal_rolling_fe.py,4a6b41ee108b8150,valid
C203,Table7,"딜 수준: 총 terrain, 회사×연 FE",0.05842,"[-0.0438, 0.1756]",25600,07_analysis/out/P00134.json,estimates.D3t_total_firmyear_FE.terrain_pr.coef,06_code/p001_34_deal_rolling_fe.py,4a6b41ee108b8150,valid
C204,Table9,딜 수준 회사×연 FE 사양의 MDE80 (섹터 성분),0.1866,-,25600,07_analysis/out/P00134.json,estimates.D3_firmyear_FE.t_cs_pr.mde80,06_code/p001_34_deal_rolling_fe.py,4a6b41ee108b8150,valid
C205,Table7,"딜 수준: 섹터 성분, 회사×연 FE, 새 기업 딜만 (필터 후 파트너≥2 셀)",0.12775,"[-0.094, 0.3378]",11697,07_analysis/out/P00134.json,estimates.D3n_new_company_firmyear_FE.t_cs_pr.coef,06_code/p001_34_deal_rolling_fe.py,4a6b41ee108b8150,valid
C206,Table7,"딜 수준: 총 terrain, 파트너 FE, 군집=파트너 (탐색 X6)",0.22569,"[-0.0146, 0.4625]",34905,07_analysis/out/P00134.json,estimates.D4t_total_partner_FE.terrain_pr.coef,06_code/p001_34_deal_rolling_fe.py,4a6b41ee108b8150,valid
C207,Table9,딜 수준 표본: 회사×연(파트너≥2) 셀 수,2402,-,25600,07_analysis/out/P00134.json,estimates.desc_exit3.n_firm_years_multi,06_code/p001_34_deal_rolling_fe.py,4a6b41ee108b8150,valid
C208,Table9,"딜 수준: exit_ever 구성물, 회사×연 FE 섹터 성분",0.00167,"[-0.1546, 0.1615]",33611,07_analysis/out/P00134.json,estimates.D0fe_firmyear_exit_ever.t_cs_pr.coef,06_code/p001_34_deal_rolling_fe.py,4a6b41ee108b8150,valid
C209,Table9,P001-30 R4(회사 FE) 섹터 성분 MDE80,0.3444,-,1624,07_analysis/out/P00131.json,estimates.A_mde.R4_firm_FE.t_cs.mde80,06_code/p001_31_gate_power.py,62e41f83f854271a,valid
C210,Table9,P001-30 R4t(회사 FE) 총 terrain MDE80,0.226,-,1624,07_analysis/out/P00131.json,estimates.A_mde.R4t_total_firmFE.terrain.mde80,06_code/p001_31_gate_power.py,62e41f83f854271a,valid
C211,Table9,R4 표본에서 섹터 성분의 within-firm 분산 비중,0.6195,-,1624,07_analysis/out/P00131.json,estimates.C_within_share.t_cs.within_share,06_code/p001_31_gate_power.py,62e41f83f854271a,valid
C212,Table9,R4 표본에서 총 terrain 의 within-firm 분산 비중,0.3262,-,1624,07_analysis/out/P00131.json,estimates.C_within_share.terrain.within_share,06_code/p001_31_gate_power.py,62e41f83f854271a,valid
C213,Table9,R1 섹터 성분 max-|t| 3성분 보정 양측 p,0.1325,-,2164,07_analysis/out/P00131.json,estimates.D_multiplicity_R1.t_cs.p_two_maxT_adj,06_code/p001_31_gate_power.py,62e41f83f854271a,valid
C214,Table9,"섹터 성분 회사 내 편차(within) 계수, Mundlak",0.13085,"[-0.0961, 0.3487]",2164,07_analysis/out/P00132.json,estimates.W1_mundlak.dev_t_cs.coef,06_code/p001_32_firm_between_within.py,b9fccf99d20f542e,valid
C215,Table9,"섹터 성분 회사 평균(between) 계수, Mundlak",0.17017,"[-0.0421, 0.3947]",2164,07_analysis/out/P00132.json,estimates.W1_mundlak.fm_t_cs.coef,06_code/p001_32_firm_between_within.py,b9fccf99d20f542e,valid
C216,Table9,섹터 성분 반분 신뢰도 (Spearman-Brown),0.4668,-,2661,07_analysis/out/P00135.json,estimates.A_reliability.t_cs.rho_SB,06_code/p001_35_terrain_reliability.py,f1d43f10a3a6f451,valid
C217,Table9,총 terrain 반분 신뢰도 (Spearman-Brown),0.8368,-,2661,07_analysis/out/P00135.json,estimates.A_reliability.terrain.rho_SB,06_code/p001_35_terrain_reliability.py,f1d43f10a3a6f451,valid
C218,Table9,조정 성과(adj) 반분 신뢰도,0.5917,-,2661,07_analysis/out/P00135.json,estimates.A_reliability.adj.rho_SB,06_code/p001_35_terrain_reliability.py,f1d43f10a3a6f451,valid
